sep=, 
timestamp, positionX , positionY , positionZ , orientationX , orientationY , orientationZ 
188.229000000,-0.00170935,-0.00176333,-0.00100764,9.36345e-06,-0.00149578,0.00072244
188.239000000,-0.00171065,-0.00176467,-0.00100764,9.36449e-06,-0.00149579,0.000722999
188.249000000,-0.00171195,-0.001766,-0.00100764,9.36554e-06,-0.0014958,0.000723558
188.258000000,-0.00171325,-0.00176733,-0.00100764,9.36658e-06,-0.00149581,0.000724117
188.268000000,-0.00171455,-0.00176866,-0.00100764,9.36763e-06,-0.00149582,0.000724676
188.279000000,-0.00171585,-0.00176999,-0.00100764,9.36867e-06,-0.00149582,0.000725235
188.289000000,-0.00171715,-0.00177133,-0.00100764,9.36972e-06,-0.00149583,0.000725795
188.299000000,-0.00171845,-0.00177266,-0.00100764,9.37076e-06,-0.00149584,0.000726354
188.309000000,-0.00171975,-0.00177399,-0.00100764,9.37181e-06,-0.00149585,0.000726913
188.319000000,-0.00172105,-0.00177532,-0.00100764,9.37285e-06,-0.00149586,0.000727472
188.329000000,-0.00172235,-0.00177665,-0.00100764,9.3739e-06,-0.00149587,0.000728031
188.339000000,-0.00172365,-0.00177798,-0.00100764,9.37494e-06,-0.00149588,0.000728591
188.349000000,-0.00172496,-0.00177932,-0.00100764,9.37599e-06,-0.00149589,0.00072915
188.359000000,-0.00172626,-0.00178065,-0.00100764,9.37703e-06,-0.0014959,0.000729709
188.368000000,-0.00172756,-0.00178198,-0.00100764,9.37808e-06,-0.00149591,0.000730269
188.379000000,-0.00172886,-0.00178331,-0.00100764,9.37912e-06,-0.00149592,0.000730828
188.388000000,-0.00173016,-0.00178464,-0.00100764,9.38017e-06,-0.00149593,0.000731387
188.398000000,-0.00173146,-0.00178598,-0.00100764,9.38121e-06,-0.00149594,0.000731947
188.409000000,-0.00173276,-0.00178731,-0.00100764,9.38226e-06,-0.00149595,0.000732506
188.419000000,-0.00173406,-0.00178864,-0.00100764,9.3833e-06,-0.00149596,0.000733066
188.429000000,-0.00173536,-0.00178997,-0.00100764,9.38435e-06,-0.00149597,0.000733625
188.438000000,-0.00173666,-0.0017913,-0.00100764,9.3854e-06,-0.00149598,0.000734185
188.445000000,-0.00173796,-0.00179263,-0.00100764,9.38644e-06,-0.00149599,0.000734744
188.459000000,-0.00173927,-0.00179397,-0.00100764,9.38749e-06,-0.001496,0.000735304
188.468000000,-0.00174057,-0.0017953,-0.00100764,9.38853e-06,-0.00149601,0.000735863
188.479000000,-0.00174187,-0.00179663,-0.00100764,9.38958e-06,-0.00149602,0.000736423
188.489000000,-0.00174317,-0.00179796,-0.00100764,9.39062e-06,-0.00149603,0.000736982
188.499000000,-0.00174447,-0.00179929,-0.00100764,9.39167e-06,-0.00149604,0.000737542
188.509000000,-0.00174577,-0.00180063,-0.00100764,9.39272e-06,-0.00149605,0.000738102
188.519000000,-0.00174707,-0.00180196,-0.00100764,9.39376e-06,-0.00149606,0.000738661
188.529000000,-0.00174837,-0.00180329,-0.00100764,9.39481e-06,-0.00149607,0.000739221
188.539000000,-0.00174967,-0.00180462,-0.00100764,9.39586e-06,-0.00149608,0.000739781
188.549000000,-0.00175097,-0.00180595,-0.00100764,9.3969e-06,-0.00149609,0.000740341
188.559000000,-0.00175228,-0.00180728,-0.00100764,9.39795e-06,-0.0014961,0.0007409
188.568000000,-0.00175358,-0.00180862,-0.00100764,9.39899e-06,-0.00149611,0.00074146
188.579000000,-0.00175488,-0.00180995,-0.00100764,9.40004e-06,-0.00149612,0.00074202
188.589000000,-0.00175618,-0.00181128,-0.00100764,9.40109e-06,-0.00149613,0.00074258
188.599000000,-0.00175748,-0.00181261,-0.00100764,9.40213e-06,-0.00149614,0.00074314
188.608000000,-0.00175878,-0.00181394,-0.00100764,9.40318e-06,-0.00149615,0.0007437
188.619000000,-0.00176008,-0.00181528,-0.00100764,9.40423e-06,-0.00149616,0.00074426
188.629000000,-0.00176138,-0.00181661,-0.00100764,9.40527e-06,-0.00149617,0.00074482
188.639000000,-0.00176268,-0.00181794,-0.00100764,9.40632e-06,-0.00149618,0.00074538
188.649000000,-0.00176398,-0.00181927,-0.00100764,9.40737e-06,-0.00149619,0.00074594
188.659000000,-0.00176529,-0.0018206,-0.00100764,9.40841e-06,-0.0014962,0.0007465
188.669000000,-0.00176659,-0.00182194,-0.00100764,9.40946e-06,-0.00149621,0.00074706
188.679000000,-0.00176789,-0.00182327,-0.00100764,9.41051e-06,-0.00149622,0.00074762
188.689000000,-0.00176919,-0.0018246,-0.00100764,9.41156e-06,-0.00149623,0.00074818
188.699000000,-0.00177049,-0.00182593,-0.00100764,9.4126e-06,-0.00149624,0.00074874
188.708000000,-0.00177179,-0.00182726,-0.00100764,9.41365e-06,-0.00149625,0.0007493
188.719000000,-0.00177309,-0.0018286,-0.00100764,9.4147e-06,-0.00149626,0.000749861
188.729000000,-0.00177439,-0.00182993,-0.00100764,9.41575e-06,-0.00149627,0.000750421
188.738000000,-0.00177569,-0.00183126,-0.00100764,9.41679e-06,-0.00149628,0.000750981
188.749000000,-0.001777,-0.00183259,-0.00100764,9.41784e-06,-0.00149629,0.000751541
188.759000000,-0.0017783,-0.00183392,-0.00100764,9.41889e-06,-0.0014963,0.000752102
188.769000000,-0.0017796,-0.00183525,-0.00100764,9.41994e-06,-0.00149631,0.000752662
188.779000000,-0.0017809,-0.00183659,-0.00100764,9.42098e-06,-0.00149632,0.000753222
